question,option1,option2,option3,option4,correct_answer
How would a physician report a bilateral diagnostic nasal endoscopy followed by endoscopic debridement of the nasal cavity during the same operative session? ,"31240, 31237",31254,31237-50,31237,31237-50
A patient had an endarterectomy during the same surgical session for a repair to a coronary arteriovenous chamber fistula. The fistula did not require cardiopulmonary bypass to complete the procedure. How should these servicesbe reported? ,"33572, 33501","33500, 33572-59",33501,"33507, 33501-59  ",33501
A CT scan identified moderate-sized right pleural effusion in a 30-year-old male. This was estimated to be 800 cc in size and had an appearance of fluid on the CT Scan. A needle is used to puncture through the chest tissues and enter the pleural cavity to insert a guidewire. A pigtail catheter is then inserted at the length of the guidewire and fluid was drained under ultrasound guidance using 1% lidocaine as local anesthetic. What procedure code should be used? ,32557,32555,32556,32550,32557
"The patient is a 35-year-old white female who has been having right temporal pain and headaches with some visual changes and has a sed rate of 51. She is scheduled for a temporal artery biopsy to rule out temporal arteritis. A Doppler probe was used to isolate the temporal artery and using a marking pen the path of the artery was drawn. Lidocaine 1% was used to infiltrate the skin, and using a15 blade scalpel the skin was opened in the preauricular area and dissected down to the subcutaneous tissue where the temporal artery was identified in its bed. It was a medium size artery and we dissected it out for a length of approximately 4 cm with some branches. The ends were ligated with 4-0 Vicryl, and the artery was removed from its bed and sent to Pathology as specimen. What code should be used for this procedure? ",37609,37605,36625,37799,37609
"A patient is brought from an MVA to the ER with multiple fractured ribs, labored breathing, and complaints of chest pain and palpitations. In the ER the thoracic surgeon performs a tube thoracostomy with some relief of the patient’s most severe symptoms. Several tests are run and radiographs taken. What is the correct code? ",32100,32554,32555,32551,32551
A sinus endoscopy with tissue removal from the sphenoid sinus was performed. The correct CPT® code is:,31287,31288,31235,31050,31287
"What code would you report for a cervical approach of a mediastinotomy with exploration, drainage, removal of foreign body, or biopsy? ",39010,39000,39200,39402,39000
A surgeon started with a diagnostic thoracoscopy. During the same surgical session she completed a surgical thoracoscopy to control a hemorrhage. How would you report this procedure? ,32601,"32601, 32654-59",32550,32654,32654
2 physicians operating as primary surgeons perform insertion of a dual chamber pacemaker system with electrodes placement. Surgeon A performed insertion and placement of the electrode. And surgeon B performed creation of subclavicular skin pocket for pulse generator. Code the procedure. ,"Surgeon A 33208, Surgeon B 33240","Surgeon A 33208-52, Surgeon B 33208-52","Surgeon A 33208-62, Surgeon B 33208-62","Surgeon A 33211, Surgeon B 33213","Surgeon A 33208-62, Surgeon B 33208-62"
Code the procedure for the removal of 2 lobes of lungs. One from the right and the other from the left lung with bronchoplasty. ,32482,32484- 50,32480-50,"32482, 3250",32482
A catheter is placed in the left common femoral artery which was directed into the right the external iliac (antegrade). Dye was injected and a right lower extremity angiogram was performed which revealed patency of the common femoral and profunda femoris. The catheter was then manipulated into the superficial femoral artery (antegrade) in which a lower extremity angiogram was performed which revealed occlusion from the popliteal to the tibioperoneal artery. What are the procedure codes that describe this procedure? ,"36217, 75736-26","36247, 75716-26","36217, 75756-26","36247, 75710-26","36247, 75710-26"
