question,option1,option2,option3,option4,correct_answer
Mike had a bicycle accident and suffered deep hematomas in both knees. He underwent a bilateral incision and drainage. How would you report the procedure?,27301-50,10040,27303,27301-59,27301-50
A patient had a unilateral percutaneous intradiscal electrothermal annuloplasty on L3-L5 with fluoroscopic guidance for needle placement. How would you report this professional service procedure?,"22526, 22527","22526, 22527, 77002-26","22899, 77002-51","22526, 22527, 77003-26","22526, 22527"
"What modifier is exempt from the following codes: 20974, 61107, 93602, 95900, 94610?",RT and LT,63,59,51,51
52 year old female has a mass growing on her right flank for several years. It has finally gotten significantly larger and is beginning to bother her. She is brought to the Operating Room for definitive excision. An incision was made directly overlying the mass. The mass was down into the subcutaneous tissue and the surgeon encountered a well encapsulated lipoma approximately 4 centimeters. This was excised primarily bluntly with a few attachments divided with electrocautery. What CPT should be reported?,"21932, D17.9","21935, D17.1","21931, D17.1","21925, R19.09","21931, D17.1"
A physician designed and prepared prosthesis for palatal lift prosthesis. Howshould you report the physician’s professional service for this process? ,21083,21083-26,L9900,L8699-26,21083
Patient complains of chronic/acute arm and shoulder pain following bilateral carpal tunnel surgery. Patient is followed by pain management for over a year. Physician finally diagnoses patient with reflex dystrophy syndrome (RSD). Physician performs six trigger point injections into four muscle groups. Code the procedure(s). ,20552,20553 x 6,20551 x 6,20553,20553
"A Grade I, high velocity open right femur shaft fracture was incurred when a 15-year-old female pedestrian was hit by a car. She was taken to the operating room within four hours of her injury for thorough irrigation and debridement, including excision of devitalized bone. The patient was then reprepped, redraped, and repositioned. Intramedullary rodding was then carried out with proximal and distal locking screws. What are the correct codes for this diagnosis and procedure? ","27506, 11044-51","27506, 11012-51","27507, 11012-51","27507, 11044-51","27506, 11012-51"
A patient presents for a steroid injection into the bilateral SI joint under fluoroscopic guidance. How should you report this? ,"27096, 77003-26",27096-50,"27096-50, 77003-26",27096,27096-50
"A patient presents for injection of steroid into the right SI joint, as well as trigger points in the trapezius, iliopsoas, and quadriceps muscles. How will you report this? ",20553,"20553, 20552-59","20553, 27096","20553, 27096-RT",20553
Posterior placement of pedicle screws and rods at L2-S1 is reported using which instrumentation code? ,.+22840,.+22842,.+22843,.+22845,.+22842
A patient suffered a fracture of the femur head. He had an open treatment of the femoral head with a replacement using a Medicon alloy femoral head and methyl methacrylate cement. How would you report this procedure? ,27236,27235,27238,"27275, 27236-59",27236
What modifier should you report when the same physician provided a re-reduction of a fracture? ,76,59,77,54,76
"This is a 32-year-old female who presents today with sacroiliitis. On the physical exam, there was pain on palpation of the left sacroiliac joint and fluoroscopic guidance was done for the needle positioning. Then 80 mg of Depo- Medrol and 1 Ml of bupivacaine at 0.5% was injected into the left sacroiliac joint with a 22 gauge needle. The patient was able to walk from the exam roomwithout difficulty. Follow up will be as needed. The correct CPT® code is: ","20610-LT, 77003-26","27096-LT, 77003-26",27096-LT,20551,27096-LT
"PREOPERATIVE DIAGNOSIS: Right scaphoid fracture. TYPE OF PROCEDURE:Open reduction and internal fixation of right scaphoid fracture. DESCRIPTION OF PROCEDURE: The patient was brought to the operating room, anesthesia havingbeen administered. The right upper extremity was prepped and draped in a sterilemanner. The limb was elevated, exsanguinated, and a pneumatic arm tourniquetwas elevated. An incision was made over the dorsal radial aspect of the rightwrist. Skin flaps were elevated. Cutaneous nerve branches were identified andvery gently retracted. The interval between the second and third dorsal compartment tendons was identified and entered. The respective tendons wereretracted. A dorsal capsulotomy incision was made, and the fracture wasvisualized. There did not appear to be any type of significant defect at the fracturesite. A 0.045 Kirschner wire was then used as a guidewire, extending from theproximal pole of the scaphoid distalward. The guidewire was positionedappropriately and then measured. A 25- mm Acutrak drill bit was drilled to 25mm. A 22.5-mm screw was selected and inserted and rigid internal fixation was accomplished in this fashion. This was visualized under the OEC imaging device in multiple projections. The wound was irrigated and closed in layers. Sterile dressings were then applied. The patient tolerated the procedure well and left theoperating room in stable condition. What code should be used for this procedure? ",25628-RT,25624-RT,25645-RT,25651-RT,25628-RT
