question,option1,option2,option3,option4,correct_answer
A lethargic patient with vomiting and severe cramping ingested five tablets of Tylenol with codeine and  half a bottle of whiskey.,"T40.1X4A, T39.1X4A, T51.0X4A, R53.83, R11.10, R10.9, T39.8X4A, T51.94","T40.2X4A, T39.314A, T51.0X4A, R53.83, R11.10, R10.9, T39.8X4A","T42.2X4A, T39.1X4A, T51.0X4A, R53.82, R11.10, R10.9, T39.314A, T51.0X4A","T40.2X4A, T39.1X4A, T51.0X4A, R53.83, R11.10, R10.9, T39.8X4A, T51.0X4A","T40.2X4A, T39.1X4A, T51.0X4A, R53.83, R11.10, R10.9, T39.8X4A, T51.0X4A"
"A fireman suffered third degree burns of his upper back involving 8% TBSA, a second degree burns of  the neck involving 2% TBSA, a third degree burns of the right forearm involving  4% TBSA, while in a house battling a fire. He was taken to the hospital ED for treatment:  ","T20.27XA, T22.311A, T22.33XA, T31.11, Y91.019, X00.0XXA ","T21.33XA, T22.311A, T20.27XA, T31.11, X00.0XXA, Y92.019 ","T21.73XA, T20.67XA, T22.011xA, T31.0, X02.0XA, Y92.013 ","T20.27xA, T21.34XA, T31.9, X03.0XA, Y92.029 ","T21.33XA, T22.311A, T20.27XA, T31.11, X00.0XXA, Y92.019"
"While chopping vegetables in the kitchen of his mobile home for the local food banks Thanksgiving dinner, John Doe lacerated his right thumb causing injury to the nail.","S61.111A, W26.0XXA,  Y92.020, Y93.G1, Y99.2 ","S61.314A, W26.0XXA, Y92.020, Y93.G1, Y99.2 ",S61.111A  ,S61.314A ,"S61.111A, W26.0XXA,  Y92.020, Y93.G1, Y99.2 "
"Lucy was standing on a chair in her kitchen trying to change a light bulb when she slipped and fell. She struck the glass top stove, which shattered. She presents to the ER with a simple laceration to her forearm that has embedded glass particles.","S51.809A, W01.110A, Y92.099","S51.829A, W01.110A, W45.8XXA","S51.809A, W01.198A, Y92.099","S51.829A, W01.198A, W45.8XXA","S51.829A, W01.198A, W45.8XXA"
"Jim was at a bonfire when he tripped and fell into the flames. Jim sustained multiple burns. He came to the emergency room via an ambulance and was treated for second and third degree burns on his face, second degree burn on his shoulders and forearms, and third degree burns on the fronts of his thighs.","T20.30XA, T24.319A, T31.42, X03.8XXA","T20.30XA, T24.319A, T22.299A, T31.42, X03.8XXA","T20.30XA, T24.319A, T22.299A, X03.8XXA","T20.30XD, T24.319D, T22.299D, T31.42, X03.8XXD","T20.30XA, T24.319A, T22.299A, T31.42, X03.8XXA"
"Henry was playing baseball and slid for home base where he collided with another player. He presents to the emergency department complaining of pain in the distal portion of his right middle finger. It is swollen and deformed. The physician orders an x-ray and diagnoses Henry with a tuft fracture. He splints the finger, provides narcotics for pain, and instructs Henry to follow-up with his orthopedist in two weeks.",S62.632A,S62.602A,S62.612A,S62.662A,S62.632A
A patient who is known to be HIV positive but who has no documented symptoms would be assigned code.?,"B20, Z21",R75,Z21,Z11.4,Z21
Newborn twin boys were delivered vaginally in a hospital at 34 weeks. Twin A weighed 850 grams and twin B weighed 920 grams. The twins were diagnosed with extreme immaturity. Which code(s) should you assign to their records?,"Z38.30, P07.03, P07.36","Z38.31, P07.00 , P07.26","Z38.30, P07.02 , P07.34","Z38.31, P07.01, P07.26","Z38.30, P07.03, P07.36"
"On Monday, Dr. Rita completed an annual exam and Pap smear for Helen, a 45-year-old asymptomatic female patient. On Tuesday morning, Helen had her annual screening mammogram, which revealed a mass in the left breast. The radiologist who read the study notified Dr. Rita of the findings immediately after the mammogram. Dr. Rita scheduled Helen for a follow-up diagnostic mammogram to be completed Tuesday afternoon. Assuming that the services were billed on Monday, prior to Tuesday's test, how should Dr. Rita report the diagnosis code(s) for Monday's annual exam?","C50.519 , Z12.31, N63","Z12.31, N63","Z12.72, Z01.411","Z00.00, N63, C50.519","Z12.72, Z01.411"
Marge was making Halloween candy in her home kitchen when hot syrup splashed on her. She suffered third-degree bums to her right upper arm and elbow and second-degree bums to her right wrist. Which diagnosis codes should you report for this injury?,"T30.0, X12.XXXA, Y92.099, Y93.G3 , Y99.8","T22.391A, T23.271A, X12.XXXA, Y92.099, Y93.G3 , Y99.8","X12.XXXA, Y92.099, Y93.G3 , Y99.8, T22.391A, T23.271A","T22.339A, T22.321A, T23.209A, X12.XXXA, Y92.099, Y93.G3 , Y99.8","T22.391A, T23.271A, X12.XXXA, Y92.099, Y93.G3 , Y99.8"
"A 66-year-old male patient underwent a total hip replacement two years ago. One year after the surgery, he had an ongoing bacterial infection related to the prosthesis. The patient was treated with IV antibiotics for the infection, which was cleared prior to today's subsequent surgery. Today, Dr. Charles completed a total hip revision, including a ceramic-on-ceramic implant and removal of the previously inserted cement spacers. How should you report the diagnosis codes for this case?","T84.50XA, Z96.649","B96.89, T84.50XA, Z96.649","B96.89, T84.50XA, M84.459D","T84.50XA, M21.859 , M84.459D","T84.50XA, Z96.649"
"44-year-old had a history of adenocarcinoma of the cervix on a conization in March 20XX who has been followed with twice-yearly endocervical curettage and Pap smears that were all negative for two years, per the recommendation of a GYN oncologist. Her Pap smear results from the last visit noted a typical glandular cells. In light of this, she underwent a colposcopy and the biopsy of the normal appearing cervix on colposcopy was begin. The endocervical curettage was benign endocervical glands and the endometrial sampling was benign endometrium. In light of the fact that she had previous a typical glandular cells that led to diagnosis of adenocarcinoma and the concerns that this may have recurred, she had been recommended for a cone biopsy and fractional dilatation and curettage, which she undergoing today. What ICD-10-CM code() should be reported?","R87.619,C539",D39.0,"R87.619,Z85.41","Z12.4, Z85 41","R87.619,Z85.41"
What is the correct way to code a patient having bradycardia due to Demerol that was correctly prescribed and properly administered?,"T40.2X1A,R00.1,T40X5A","T40.2X6A,R00.1","R00.1,T40.2X5A","T40.2X1A,R00.1","R00.1,T40.2X5A"
"27-year-old was frying chicken when an explosion of the mail had occurred and she sustained second-degree burns on her face (3%), third degree bums on both hands (4%), and second degree burnson her lower left forearm 3%). There was a total of 10 percent of the body surface that was buried. Select which ICD-10-CM codes should be used?","T20.20XA,T23.309A,T22.20XA,T31.10, X12XXXA","T23.309A,T20.20XA,T22.20XA,T31.0,X12.XXXA","T23.301A,T23.302A,T20.20XA,T22.212A,T31.10,X12.XXXA","T23.309A,T31.0,X12XXXA","T23.301A,T23.302A,T20.20XA,T22.212A,T31.10,X12.XXXA"
55 year-old-patient had a fracture of his left knee cap six months ago. The fracture has healed but he still has staggering gait in which he will be going to physical therapy.What ICD-10-CM codes should be reported?,"S82.009A,R26.89","S82.009S, R26.89, S82.009A","S82.009S, R26.89","R26.89,S82.009S","R26.89,S82.009S"
The provider documents a headache without more specific details. Which ICD-10-CM code should you report?,R51,R51.0,R51.9,G50.1,R51.9
"Lucy was standing on a chair in her apartment’s kitchen trying to change a light bulb when she slipped and fell. She struck the glass top stove, which shattered. She presents to the ER with a simple laceration to her left forearm that has embedded glass particles.","S51.812A, W18.02XA, W25.XXXA, Y92.030","S51.822A, W18.02XA, W25.XXXA, Y92.030, Y93.E9","S51.812A, Y92.030, W07.XXXA, W25.XXXA","S51.822A, W07.XXXA, W25.XXXA, Y93.E9, Y92.030","S51.822A, W07.XXXA, W25.XXXA, Y93.E9, Y92.030"
"Jim was at a bonfire when he tripped and fell into the flames and sustained multiple burns. He came to the emergency room via an ambulance and was treated for second and third degree burns on his face, second degree burns on his upper arms and forearms, and third degree burns on the fronts of his thighs.","T20.20XA, T20.30XA, T22.259A, T22.219A, T24.319A, T31.42, X03.0XXA","T20.30XA, T24.319A, T22.299A, T31.42, X03.0XXA","T20.09XA, T22.099A, T24.099A, T31.64, X03.0XXA","T20.30XA, T22.299A, T24.319A, T31.64, X03.0XXA","T20.30XA, T24.319A, T22.299A, T31.42, X03.0XXA"
"Henry was playing baseball at the town’s sports field and slid for home base where he collided with another player. He presents to the emergency department complaining of pain in the distal portion of his right middle finger. It is swollen and deformed. The physician orders an x-ray and diagnoses Henry with a displaced tuft fracture. He splints the finger, provides narcotics for pain, and instructs Henry to follow-up with his orthopedist in two weeks.","S62.632A, Y93.64, W51.XXXA, Y92.320","S62.662A, Y93.64, W03.XXXA, Y92.320","S62.392A, Y93.64, W51.XXXA, Y92.320","S62.632A, Y93.67, W03.XXXA, Y92.320","S62.632A, Y93.64, W51.XXXA, Y92.320"
A patient who is known to be HIV positive but who has no documented symptoms would be assigned code:-,B20,R75,Z21,B97.35,Z21
"Type 1 diabetic patient is brought to the ER by ambulance in a coma. Patient is pale, rapid heartbeat, and their face is covered in sweat. Physician finds the insulin pump not delivering insulin and after reviewing the lab's diagnosis the patient with diabetic ketoacidosis with diabetic coma.","T85.614A, T38.3X1A, E10.641","T85.614A, T38.3X6A, E10.11","E10.11, T85.614A, T38.3X6A","T85.614A, T38.3X6A, E11.641","T85.614A, T38.3X6A, E10.11"
Which of the following Z codes can be reported as a first listed code?,Z37.0,Z79.890,Z87.710,Z00.129,Z00.129
